ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
BR-0195,small_airport,Muaná Airstrip,15,SA,BR,BR-PA,Muaná,,,,,"-1.536895, -49.232689"
BR-0196,small_airport,Curralinho Airstrip,14,SA,BR,BR-PA,Curralinho,,,,,"-1.797103, -49.801873"
BR-0197,small_airport,Fazenda Chapadão Alegre Airport,2530,SA,BR,BR-BA,Correntina,,,SSDH,BA0153,"-13.434996, -45.307717"
BR-0198,small_airport,Fazenda Água Boa Airport,817,SA,BR,BR-MT,Juara,,,SIKX,MT0103,"-11.176732, -57.669051"
BR-0199,small_airport,Fazenda Estivado Airport,,SA,BR,BR-MT,Diamantino,,,SWEZ,,"-14.422748, -56.071279"
BR-0200,small_airport,Santa Terezinha de Goiás Airstrip,,SA,BR,BR-GO,Santa Terezinha de Goiás,,,,,"-14.453288, -49.67461"
BR-0201,small_airport,Alto Horizonte Airport,,SA,BR,BR-GO,Alto Horizonte,,,,,"-14.196032, -49.362951"
BR-0202,small_airport,Taipas do Tocantins Airstrip,,SA,BR,BR-TO,Taipas do Tocantins,,,,,"-12.178581, -46.970934"
BR-0203,small_airport,Conceição do Tocantins Airstrip,,SA,BR,BR-TO,Conceição do Tocantins,,,,,"-12.228285, -47.277564"
BR-0204,small_airport,Conceição do Tocantins West Airstrip,,SA,BR,BR-TO,Conceição do Tocantins,,,,,"-12.231261, -47.32664"
BR-0205,small_airport,Bonfim Airstrip,,SA,BR,BR-TO,Bonfim,,,,,"-11.826265, -47.626364"
BR-0206,small_airport,Natividade Airstrip,,SA,BR,BR-TO,Natividade,,,,,"-11.706552, -47.750419"
BR-0207,small_airport,Mateiros Airport,,SA,BR,BR-TO,Mateiros,,,,,"-10.562528, -46.429861"
BR-0208,small_airport,São Félix do Tocantins Airstrip,,SA,BR,BR-TO,São Félix do Tocantins,,,,,"-10.161665, -46.667359"
BR-0209,small_airport,Galhão Airstrip,,SA,BR,BR-TO,Galhão,,,,,"-10.604769, -46.249508"
BR-0210,small_airport,Dois Irmãos do Tocantins Airstrip,,SA,BR,BR-TO,Dois Irmãos do Tocantins,,,,,"-9.25308, -49.055964"
BR-0211,small_airport,Caseara Airstrip,,SA,BR,BR-TO,Caseara,,,,,"-9.302872, -49.946237"
BR-0212,small_airport,Pequizeiro Airstrip,876,SA,BR,BR-TO,Pequizeiro,,,,,"-8.586875, -48.946678"
BR-0213,small_airport,Colméia Airstrip,,SA,BR,BR-TO,Colméia,,,,,"-8.747707, -48.764792"
BR-0214,small_airport,Itaporã do Tocantins Airstrip,1250,SA,BR,BR-TO,Itaporã do Tocantins,,,,,"-8.564261, -48.702882"
BR-0215,small_airport,Bernardo Sayão Airstrip,,SA,BR,BR-TO,Bernardo Sayão,,,,,"-7.875086, -48.895373"
BR-0216,small_airport,Bandeirantes do Tocantins Airstrip,,SA,BR,BR-TO,Bandeirantes do Tocantins,,,,,"-7.773402, -48.559079"
BR-0217,small_airport,Palmeirante Airstrip,,SA,BR,BR-TO,Palmeirante,,,,,"-7.850755, -47.924564"
